date,geography,geography code,population,all_public transport,all_personal transport,all_other
2011,Ealing 031,E02000268,4496,2561,1215,720
2011,Ealing 032,E02000269,4156,2453,1071,632
2011,Ealing 033,E02000270,3174,1892,721,561
2011,Ealing 034,E02000271,3291,1864,798,629
2011,Ealing 035,E02000272,3292,1692,1110,490
2011,Ealing 037,E02000274,4962,2252,1980,730
2011,Ealing 038,E02000275,2784,969,1360,455
2011,Ealing 039,E02000276,3465,2080,903,482
2011,Ealing 040,E02006791,3574,2068,797,709
2011,Enfield 001,E02000277,2969,954,1618,397
2011,Enfield 002,E02000278,3031,1068,1490,473
2011,Enfield 003,E02000279,4264,1800,1948,516
2011,Enfield 004,E02000280,3691,1242,1855,594
2011,Enfield 005,E02000281,3633,1131,1929,573
2011,Enfield 006,E02000282,3050,1171,1463,416
2011,Enfield 007,E02000283,3180,1017,1708,455
2011,Enfield 008,E02000284,3813,1600,1586,627
2011,Enfield 009,E02000285,2994,839,1595,560
2011,Enfield 010,E02000286,3886,1628,1703,555
2011,Enfield 011,E02000287,2550,932,1390,228
2011,Enfield 012,E02000288,3887,1545,1742,600
2011,Enfield 013,E02000289,2724,965,1483,276
2011,Enfield 014,E02000290,2451,1083,1026,342
2011,Enfield 015,E02000291,3838,1670,1599,569
2011,Enfield 016,E02000292,4146,1575,1958,613
2011,Enfield 017,E02000293,2646,951,1405,290
2011,Enfield 018,E02000294,3273,1297,1582,394
2011,Enfield 019,E02000295,3496,1570,1593,333
2011,Enfield 020,E02000296,4170,2211,1535,424
2011,Enfield 021,E02000297,4244,1411,2307,526
2011,Enfield 022,E02000298,3612,1669,1582,361
2011,Enfield 023,E02000299,3340,1593,1352,395
2011,Enfield 024,E02000300,3116,1425,1326,365
2011,Enfield 025,E02000301,3469,1699,1373,397
2011,Enfield 026,E02000302,3465,1422,1663,380
2011,Enfield 027,E02000303,2694,1211,1117,366
2011,Enfield 028,E02000304,3567,1639,1566,362
2011,Enfield 029,E02000305,4201,2278,1485,438
2011,Enfield 030,E02000306,2892,1576,949,367
2011,Enfield 031,E02000307,3849,1641,1799,409
2011,Enfield 032,E02000308,3403,1985,1050,368
2011,Enfield 033,E02000309,3736,1867,1346,523
2011,Enfield 035,E02000311,4269,2109,1672,488
2011,Enfield 036,E02000312,5281,3217,1514,550
2011,Enfield 037,E02006793,3029,1488,1069,472
2011,Greenwich 001,E02000313,2596,1531,787,278
2011,Greenwich 002,E02000314,5129,3071,1539,519
2011,Greenwich 003,E02000315,3244,1856,1075,313
2011,Greenwich 004,E02000316,5224,3598,906,720
2011,Greenwich 005,E02000317,2861,1739,719,403
2011,Greenwich 006,E02000318,3980,2582,979,419
2011,Greenwich 007,E02000319,4686,3016,1081,589
2011,Greenwich 008,E02000320,2778,1534,967,277
2011,Greenwich 009,E02000321,2832,1722,706,404
2011,Greenwich 011,E02000323,4062,2565,997,500
2011,Greenwich 012,E02000324,2841,1688,761,392
2011,Greenwich 014,E02000326,3343,2115,761,467
2011,Greenwich 015,E02000327,2478,1300,568,610
2011,Greenwich 016,E02000328,3118,2075,600,443
2011,Greenwich 017,E02000329,2673,1182,1122,369
2011,Greenwich 019,E02000331,3387,1870,1041,476
2011,Greenwich 020,E02000332,3204,1515,1253,436
2011,Greenwich 021,E02000333,3151,2003,657,491
2011,Greenwich 022,E02000334,2771,1248,1120,403
2011,Greenwich 023,E02000335,3087,1314,1284,489
2011,Greenwich 025,E02000337,3295,1578,1249,468
2011,Greenwich 027,E02000339,2647,1311,964,372
2011,Greenwich 028,E02000340,2776,1364,1065,347
2011,Greenwich 029,E02000341,2899,1324,1158,417
2011,Greenwich 030,E02000342,2484,1235,910,339
2011,Greenwich 031,E02000343,2740,1245,1166,329
2011,Greenwich 032,E02000344,2941,1323,1263,355
2011,Greenwich 033,E02006786,2790,1392,1078,320
2011,Greenwich 034,E02006927,3350,1873,1048,429
2011,Greenwich 035,E02006928,3367,2414,416,537
2011,Greenwich 036,E02006929,3723,2671,532,520
2011,Greenwich 037,E02006930,3556,2458,533,565
2011,Greenwich 038,E02006931,4586,3262,632,692
2011,Hackney 001,E02000345,2776,1239,521,1016
2011,Hackney 002,E02000346,2184,1585,280,319
2011,Hackney 003,E02000347,2692,1337,431,924
2011,Hackney 004,E02000348,2555,1369,393,793
2011,Hackney 006,E02000350,4519,2583,560,1376
2011,Hackney 007,E02000351,4920,3514,448,958
2011,Hackney 008,E02000352,2942,1603,397,942
2011,Hackney 009,E02000353,4013,2270,448,1295
2011,Hackney 010,E02000354,3928,2345,454,1129
2011,Hackney 011,E02000355,3840,2141,531,1168
2011,Hackney 012,E02000356,3847,2244,386,1217
2011,Hackney 013,E02000357,1972,1268,365,339
2011,Hackney 014,E02000358,5353,3256,547,1550
2011,Hackney 015,E02000359,2826,1475,430,921
2011,Hackney 016,E02000360,4673,2828,524,1321
2011,Hackney 017,E02000361,3746,2263,344,1139
2011,Hackney 018,E02000362,2572,1477,401,694
2011,Hackney 019,E02000363,3767,2315,561,891
2011,Hackney 020,E02000364,4336,2330,415,1591
2011,Hackney 021,E02000365,6683,3976,593,2114
2011,Hackney 022,E02000366,3501,1931,488,1082
2011,Hackney 023,E02000367,4936,2833,463,1640
2011,Hackney 024,E02000368,3936,2120,448,1368
2011,Hackney 025,E02000369,5167,3005,508,1654
2011,Hackney 026,E02000370,3659,1897,329,1433
2011,Hackney 027,E02000371,6315,3204,379,2732
2011,Hackney 028,E02006918,2846,1750,492,604
2011,Hackney 029,E02006921,2487,1430,381,676
2011,Hammersmith and Fulham 001,E02000372,3840,2320,595,925
2011,Hammersmith and Fulham 002,E02000373,2322,1458,360,504
2011,Hammersmith and Fulham 003,E02000374,3035,1817,481,737
2011,Hammersmith and Fulham 004,E02000375,3442,2184,378,880
2011,Hammersmith and Fulham 005,E02000376,3724,2263,442,1019
2011,Hammersmith and Fulham 006,E02000377,4000,2451,541,1008
2011,Hammersmith and Fulham 007,E02000378,3608,2331,375,902
2011,Hammersmith and Fulham 008,E02000379,3604,2127,588,889
2011,Hammersmith and Fulham 009,E02000380,2897,1718,367,812
2011,Hammersmith and Fulham 010,E02000381,3873,2409,441,1023
2011,Hammersmith and Fulham 011,E02000382,2893,1758,384,751
2011,Hammersmith and Fulham 012,E02000383,4730,3103,501,1126
2011,Hammersmith and Fulham 013,E02000384,3363,2114,328,921
2011,Hammersmith and Fulham 014,E02000385,3875,2730,328,817
2011,Hammersmith and Fulham 015,E02000386,3701,2420,378,903
2011,Hammersmith and Fulham 016,E02000387,3127,1853,355,919
2011,Hammersmith and Fulham 017,E02000388,4445,2804,457,1184
2011,Hammersmith and Fulham 018,E02000389,4107,2333,601,1173
2011,Hammersmith and Fulham 019,E02000390,3312,1978,443,891
2011,Hammersmith and Fulham 020,E02000391,3629,2287,442,900
2011,Hammersmith and Fulham 021,E02000392,4950,3277,541,1132
2011,Hammersmith and Fulham 022,E02000393,3411,2102,459,850
2011,Hammersmith and Fulham 023,E02000394,3637,2077,510,1050
2011,Hammersmith and Fulham 024,E02000395,2988,1930,406,652
2011,Hammersmith and Fulham 025,E02000396,3032,1756,429,847
2011,Haringey 001,E02000397,3677,2593,693,391
2011,Haringey 002,E02000398,2263,1413,557,293
2011,Haringey 004,E02000400,3341,2169,802,370
2011,Haringey 005,E02000401,2226,1201,714,311
2011,Haringey 006,E02000402,2262,1373,621,268
2011,Haringey 007,E02000403,3600,2562,634,404
2011,Haringey 008,E02000404,2984,2021,604,359
2011,Haringey 009,E02000405,3070,1766,832,472
2011,Haringey 010,E02000406,3025,2039,573,413
2011,Haringey 011,E02000407,2682,1759,579,344
2011,Haringey 012,E02000408,2616,1732,519,365
2011,Haringey 013,E02000409,2407,1489,565,353
2011,Haringey 014,E02000410,3298,1972,815,511
2011,Haringey 015,E02000411,2896,2013,555,328
2011,Haringey 016,E02000412,2996,2120,427,449
2011,Haringey 017,E02000413,3187,1796,841,550
2011,Haringey 018,E02000414,3093,2027,601,465
2011,Haringey 019,E02000415,3217,2278,544,395
2011,Haringey 020,E02000416,3521,2244,699,578
2011,Haringey 021,E02000417,3336,2103,685,548
2011,Haringey 022,E02000418,2604,1429,646,529
2011,Haringey 023,E02000419,4108,2865,584,659
2011,Haringey 024,E02000420,3138,2177,509,452
2011,Haringey 025,E02000421,2890,2167,394,329
2011,Haringey 026,E02000422,3191,2210,543,438
2011,Haringey 027,E02000423,3432,2425,459,548
2011,Haringey 028,E02000424,3648,2352,605,691
2011,Haringey 029,E02000425,2483,1343,595,545
